cnms,frequency,total_salecs
U.S.A.,2,915.5
Shangji Automation,3,912.217
State Street Bank,9,911.263
Hyundai Motor Co,5,910.0
ProMedica Health System,4,906.681
PBF Holding,3,906.422
Independent Restaurants,2,906.39
Offshore Markets,2,906.057
OEM market,5,905.1
Packaging,3,902.527
wireless infrastructure,2,901.981
Third Party Consumers,2,900.5550000000001
Foreign Military,9,899.151
Indirect revenue,3,898.9839999999999
Sherman Oaks/Encino,9,897.153
"Suncor Energy Marketing, Inc.",8,895.11
"Asia Pacific (Mainly China, Taiwan & South Korea)",3,894.033
"Shanghai Huaye Iron & Steel Group Co., Ltd.,",5,892.9159999999999
Furnishings Market,15,892.912
Supplies-driven channel,1,891.997
CSX TRANSPORTATION INC,7,889.447
Dana Holding Corp,5,889.312
Large Business and Other Customers-Electric,1,884.0
Book Clubs,2,883.4000000000001
Santander Brasil Channel,2,882.293
Microelectronics Market,6,879.946
Original Equipment Manufacturers & EMS,3,878.9970000000001
Residential and Commercial Gas sales,1,877.8
Gobierno del Distrito Federal,2,876.7860000000001
Becton Dickinson,2,875.109
TTX Co,3,874.685
"Texas, North Carolina, Georgia, Iowa & Louisiana",1,874.322
Kitchen and bathroom cabinet dealers,3,873.542
National Institutes of Health & BARDA,13,872.747
Davidson's,8,872.612
"Lion Oil Trading and Transportation, LLC",2,871.921
Various State Governmental and Quasi-Government Ag,3,869.224
Self-serve,3,868.3919999999999
Branch Stores,1,867.105
Repair and remodel,1,866.9
Tesoro Corp,2,866.3
Skilled Nursing Properties,12,866.057
Wireline/Networking,1,865.759
Commercial Electrical,2,865.0
Other State and Local Government Agencies,3,864.687
Transportation Facilities,3,863.633
Health Services,25,861.877
Frontek Technology Corp,12,861.01
Broadband Communication Industry,3,860.558
Diamond Hill Funds,8,860.096
"U.S., state and local governmental agencies",6,854.727
Wireless Communications,3,853.771
"Texas, North Carolina, Iowa, Georgia, and S.C",1,851.979
The Progressive Corporation,11,850.063
Sinopharm Group Co,6,850.048
Grifols SA,4,848.816
TECHNOLOGY/CONSUMER,4,848.078
BHP Billiton Plc  -ADR,4,847.673
GE Renewable Energy,6,846.734
"NRG Solar, Inc.",1,846.125
Hewlett-Packard Co,11,845.826
BGSS Incentive Programs,7,842.629
Class I Railroads,2,842.452
Direct Store Delivery-Retail,7,842.124
VTB Bank (JSC),1,841.0
Mexico City,4,840.718
Retail - Western,4,840.088
Web-based & Platform-derived,3,839.763
Medicaid - Custodial,3,839.4929999999999
Connectivity,6,837.946
CMA CGM S.A.,5,836.878
Private insurance and other private pay,5,833.501
Sport-Utility Vehicles,1,833.082
Healthcare/Pharmaceuticals,8,832.759
U.S. Military Airlift Command Charters,2,832.526
Commercial and private payors,1,832.451
State of California,23,831.319
CATV,14,828.629
"Beijing, Shanghai, Hangzhou,Xi'an",1,827.231
Insurance industry,5,826.894
Fire Protection,39,826.215
Jenne Inc,4,825.836
Royal Caribbean Cruises Ltd,15,822.327
Johnson Matthey PLC,1,820.824
Property-direct reservations,2,820.8009999999999
Independent Retailers,5,818.023
Virtual Public Schools,2,817.005
Regional operators,5,815.12
Large Commercial Aircraft,6,814.4
DIY/Retail,1,814.207
DirecTV Group Inc,3,813.6700000000001
Holly Corp,6,811.78
Business-to-Business,1,811.5
Communications & Technology,2,810.6279999999999
"American Multi-Cinema, Inc.",8,806.373
Ameristar St. Charles,3,805.826
GE Healthcare,57,804.952
Transportation and Leisure,7,804.572
Ipsen SA,7,802.969
Grocery stores,2,802.079
3 Largest Markets,4,801.846
"Grocery, Mass, International and Digital",1,800.775
Valcambi,2,799.9
Food & Beverage,3,799.401
Euro Zone,1,799.0
Central Bank of Turkiye,2,798.237
Private Companies,4,798.015
Wind Energy,2,797.8399999999999
ScanSource Communications,4,797.537
General Markets Group (GMG),2,794.5840000000001
"The Pepsi Bottling Group, Inc.,",1,793.52
"Europe, the Middle East and Africa",2,792.623
EMEAI,1,790.873
Maersk A/S,4,790.762
Exploration and Production (E&P),6,790.716
AXA Equitable Life Insurance Company,5,790.659
Clinical Care,3,789.265
Automotive & Industrial,6,788.448
New York tri-state area outside of the City of NY,6,786.602
Enterprise Markets Group (EMG),2,785.319
Academic & Skills Markets,1,785.148
Canadian Export and Domestic,2,785.0
AU OPTRONICS CORP  -ADR,8,782.773
Oil and Gas Proppants,3,782.549
MAERSK,5,781.577
JOHNSON CONTROLS INC,6,781.425
"New York, California, Maryland, Texas, Mississippi",5,780.724
Duke Energy Field Services LLC,1,780.361
High-speed Internet Service Providers,9,780.3489999999999
U.K,1,780.2
Hospitals and other healthcare providers,6,780.0
Membership card holders,4,779.733
Institutions,2,778.5799999999999
North Sea,2,778.469
Foxconn Technology Co Ltd,11,778.396
"Outside North, Central and South America",5,776.232
Commercial Insurance & Managed Care,1,776.193
U S Government & Foreign Governments,1,776.185
Electric Utilities,21,775.502
Commercial Customers and Consumers,4,775.083
Natural Resources,5,774.755
"Citigroup Technology, Inc",4,774.491
ECO-Energy,4,773.8309999999999
Airbus Group NV,1,773.3
Direct to consumer,5,771.664
"Automobile, FMCG, Internet, Financial,IT & Telecom",3,771.4789999999999
Departments of Transportation,3,770.102
Consumer products,3,769.236
Outside of the United states,4,769.0889999999999
Radar and Electronic Warfare,5,769.0
United States and Latin America,1,769.0
Teva Pharmaceutical Industries Ltd,33,768.838
Wholesale Dispensary,3,768.835
Aircraft owner/operator,3,767.899
International (Excl. U.K),2,766.8
Electric energy sales - Residential,1,766.609
Club,17,766.503
"Commercial and Industrial, Small",4,765.62
Local crude oil,1,765.543
Paper industry,5,764.203
Commercial/Industrial Gas,7,763.7
Risk,5,763.16
"Enterprise, service provider, broadband and consum",1,762.967
Washington DC & Baltimore,5,760.957
Technology and Communications,1,759.616
"The Southern Company, Inc",4,758.7
Private Commercial Payers,4,758.238
United States Federal Government,6,757.6709999999999
The City of New York Department of Transportation,6,756.8199999999999
US & Foreign Governments,4,756.493
Taconite and iron concentrate customers,3,755.298
Alberta Electric System Operator,1,752.598
Pacific Gas & Electric Co,11,751.427
DOD Tuition Assistance Programs,7,751.422
Paid Customers,4,748.674
Telecommunications industry,8,747.643
"Sequent Energy Management, LP",5,747.331
"Verizon Wireless, Inc.",9,747.056
Duke Energy,13,747.0409999999999
"Trafigura Trading, LLC",3,746.518
Shuangliang,2,746.199
Wales,7,745.951
Consumer goods,7,745.922
OxyVinyls LP,1,745.0
Associated Companies,2,742.0
Original Equipment Dealers (OEDs),3,738.985
Value-added resellers and Integrators,3,738.197
Home Repair & Remodeling,5,737.292
Southern China,13,737.2529999999999
Broadband,2,736.9060000000001
Hotels and Resorts,9,736.45
Sherwin-Williams Co (The),9,734.569
Inpatient Services,2,734.0540000000001
U.S. Markets Group (UMG),1,733.663
Shanghai,3,732.569
Home Services,4,731.5989999999999
Petroleos Mexicanos,4,730.662
International Sales,6,730.2
US Foods Inc,20,730.032
Commercial-Firm,11,728.32
Retail cannabis,3,728.297
Semiconductor Capital Equipment,2,727.7719999999999
IAC/INTERACTIVECORP,8,727.371
Financial Securities,2,727.0
"Automobile, FMCG, Internet, Financial Service & IT",4,726.713
Railcars,1,726.7
CDI-P&I,2,725.5409999999999
Retail sales,9,724.629
ROYAL DUTCH SHELL PLC  -ADR,4,721.76
"LACC, LLC",1,721.0
Gas - Industrial,12,720.0
"Enterprise network, data center & access & svcs",2,718.865
Hyundai Merchant Marine Co Ltd,14,718.806
Sandoz,8,717.434
General Practitioner Dentists - North America,4,716.6
OEM Customers,19,714.915
EPIX Entertainment LLC (EPIX),2,714.7460000000001
Residential -Electric,4,713.511
"Retailer, Independent Dealer Agents & Carriers",4,712.163
Regeneration and treatment services,2,711.982
Energy and Utilities Industries,10,709.805
"Cal, Flor, Ind, Mich, NJ, NY, Penn, Texas & Wash",1,709.4
Anthem Inc,22,708.308
Advanced Metering,3,705.744
Canadian adult-use cannabis,3,705.213
DePuy Synthes Mitek Sports Medicine,10,704.315
Smartphone and Tablet Devices,3,704.2429999999999
National Security,1,702.5
TransCanada Corp,12,701.273
Taxas,4,700.04
Otsuka Pharmaceutical Co. Ltd,8,697.7090000000001
Data Storage,8,697.27
MISO,1,697.0
"Local, Regional & Foreign Government",1,695.995
Energy and Natural Resources,7,695.648
"Chevron USA, Inc.",12,693.074
SaskPower,4,693.0219999999999
Defense/Naval,1,692.168
"Irvine Pacific, LP",5,691.712
"Plains Marketing, l.P",1,690.58
Process Industries,1,690.224
"Prime Healthcare Services, Inc",6,688.806
Telstra Corporation Ltd,21,688.727
SAMSUNG ELECTRONICS CO  -ADR,15,688.337
"Novartis Gene Therapies, Inc.",7,687.811
Altice usa inc,4,687.3439999999999
Cleveland-Cliffs Steel Holding Corp,1,687.3
NYISO,3,686.96
Independent Installers/New Car Dealerships,4,686.873
Metropolitan Area,6,686.526
"Website, Mobile site, and Call center",5,684.747
Guernsey Power Station LLC,3,684.6120000000001
VALIC Financial Advisors,1,684.0
Kazakhstan,1,683.026
TTX Company,1,680.82
North american railcars,1,680.0
"Honolulu, Hawaii",12,679.554
11 Customers,12,678.6419999999999
Cogeneration,9,678.64
HVAC/R,1,678.6
North America & Europe,4,677.504
Biotech,3,676.135
Oil and Gas Exploration,2,674.45
In-Store Channel (Non-Digital component),3,674.3820000000001
8  Customers,1,672.84
Transportation Equipment,12,671.769
"Health, education, and social programs",1,670.618
"Phoenix, Tampa, Atlanta, Orlando, and Houston",1,670.35
Online travel agency,3,670.31
Swedish Orphan Biovitrum AB,14,670.022
CVS/Caremark Corp -Pro Forma,4,668.747
"Industrial Users,Coal Operations & Power Generator",3,667.763
Firm & Interruptible - Residential,3,667.159
Janssen Pharmaceutica NV,9,666.869
"Oxy USA, Inc.",2,666.327
Municipal Water,2,665.4
Cogir Management Company,1,663.901
Retail Payments Processing,2,662.443
"Medicare, Medicaid or Other Government Healthcare",2,662.146
Middle-market businesses,3,661.265
Commercial Aerospace Sector,1,658.476
Appliances,7,658.195
Foreign Sales,1,656.5
FMR LLC,5,654.96
U.S. Department of Defense Prime & Subcontractors,8,653.155
Private Biotechnology,3,652.154
Power Sales Distributors-Power Trade on Regulated,1,652.111
Silgan Containers Corporation,1,651.301
Independent distributors and sales representatives,1,650.65
Direct channel,1,650.111
China (Including Hong Kong),6,649.5
Citadel Energy Marketing LLC,3,649.355
Non-aviation,16,649.034
Fuel and Purchased Power Revenues,2,649.0
Magna International Inc.,5,648.721
Promark Technology Inc,5,648.6170000000001
"ArcelorMittal USA, Inc",4,647.1
U.S. Air Force (USAF) Air Mobility Command,1,646.0
Green Plains Trade Group LLC,10,645.331
Gunvor Singapore Pte.Ltd/,1,642.209
Aerospace & Defense,9,641.894
Gunvor USA LLC,2,641.872
Governments and Government agencies,3,640.629
AGL RESOURCES INC,4,640.0
Retail - residential - Electric Utility,1,640.0
Tropicana Products Inc,9,639.529
184 Customers,1,638.663
Wireless Network Operators And Other,2,638.131
Tires,1,636.89
Center for Medicare and Medicaid Services,1,635.1
Out-of-Home,5,634.267
PPFAC,2,634.0
Original Equipment Manufacturers (OEMs),4,633.343
Tullow Oil Plc,3,633.193
Biopharma/Pharma,4,633.059
HMM Co Ltd,4,631.865
VF Corporation,9,631.812
Take Shape for Life,3,631.277
Northeastern United States,9,630.107
U.S. Government (GSA),7,629.609
US Department of Defense (DoD),1,629.552
Scotiabank,1,627.86
New Wind Installations,4,627.72
Digital online,2,627.518
Title IV programs,4,627.49
SPIRIT AEROSYSTEMS,7,626.26
Central call center,2,626.079
Residential and business,1,625.08
Commercial Data Networks and Broadband Service Pro,11,624.341
People's Republic of China (PRC),5,623.553
Auctus Technologies Group Limited,4,622.643
Insurance including Government Payors,1,621.599
Saudi Aramco Base Oil Company - Luberef,1,621.24
Life sciences & healthcare,2,619.9010000000001
PEMEX Exploration and Production,12,618.689
AIG Financial Network,1,618.0
Navig8 Chemicals Shipping and Trading Co.,7,617.648
Rest of world,3,617.6279999999999
website and Mobile applications,3,617.303
"Southeast Asia, United States, Australia Cen.Asia",1,617.108
Sunoco Logistics Partners Operations GP LLC,3,617.0699999999999
Business customers,2,615.6020000000001
North Louisiana,4,615.489
Ontario,4,615.206
"GNYHA Purchasing Alliance, LLC",6,614.652
"Choctaw Generation Limited Partnership, LLLP",8,614.022
Non - U.S.,2,613.261
Direct Channels,3,613.153
"Fox Filmed Entertainment, Inc.",3,612.147
Outside of China,9,611.28
Alternative fuels,7,609.8
"Banc of America Leasing and Capital, LLC",1,609.481
Energy Transfer Crude Marketing,1,609.07
Industrial - Retail electric,7,608.984
Superstore Sales,2,608.575
"Distribution partners, OEMs and end users",1,607.464
"COSCO Shipping Lines Co., Ltd",2,606.112
OEM Customer - C,1,606.01
Web-based and platform-derived,2,605.9359999999999
Euro-zone Countries,1,604.9
Istanbul Gold Refinery,1,604.422
Microsoft Irelands Operations Limited,3,604.174
Convention,7,604.0
Jenne Corporation,5,602.987
TWENTIETH CENTURY-FOX FILM,5,602.505
Woodside Petroleum Ltd,7,602.344
Non-commercial - Domestic,1,600.4
Truck,8,600.004
Small commercial & industrial-Electric,1,600.0
"Macnica, Inc.",1,599.107
"Connecticut, Massachusetts, New Jersey, New York,",1,598.755
Export,6,598.745
Insurance including government payors,1,597.744
Chimei Innolux Corp,2,597.493
"Oil, Gas and Chemicals",4,595.47
Shell Offshore Inc.,3,594.738
Priceline Group Inc (The),11,594.31
"RGH Enterprises, Inc.",9,594.225
Wynit Distribution,4,592.552
Mobile Customers,3,591.0409999999999
Domestic hospitals,4,590.778
U.K. Department for Transport,3,589.69
FACEBOOK INC,8,589.546
Advanced metering solutions,2,589.354
Clerical,1,589.213
Software House International Corporation,11,588.288
Tissue & Specialty Paper Manufacturers,1,587.556
Senior Housing Properties Trust,7,587.394
Avnet Electronics,4,585.8399999999999
Building and housing,1,585.8
Financial - Bank/Credit Union,10,585.506
In-Store Bakeries,2,585.354
Cohen & Steers Preferred Securities and Income Fun,8,585.122
Building Infrastructure,3,584.894
Printed Circuit Boards,2,584.5
7-ELEVEN INC,6,583.841
SOFTBANK CORP,15,583.51
Automotive Safety and Electronics,3,582.51
Hebei,15,581.891
Wholesale-Non-Affiliates,2,581.788
"Technology, media and advertising",6,580.652
Samsung Semiconductor Inc.,5,579.758
Other State Governments,1,579.235
"U.S. Foods, Inc.",3,578.759
Refining,2,578.547
Wireless Telecommunications Industry,1,577.677
Local and Regional Advertising,1,576.861
Department of Defense - Other,2,574.981
Domestic Land Market Area,1,574.49
"Boston, MA, Detroit, MI and Philadelphia, PA",4,574.317
Grocery Anchor,4,573.818
Traditional Ice Manufacturing,2,573.087
Telecommunications Companies,2,571.701
Pay Television Distribution,1,571.298
Mercuria Trading NV,3,571.156
Gazprom Global LNG Limited,8,570.944
Independent sales agencies,8,570.733
Nigeria,2,570.5909999999999
The Juice Plus+ Company,10,570.469
Mobile Internet,2,570.29
Medicare-eligible members,2,569.8199999999999
Hi-Tech,2,569.621
"Enterprise, datacenter & service provider markets",1,568.812
Equipment Care,4,568.561
Denver-Boulder,7,567.925
Direct Response,1,566.604
Downstream & industrial,1,566.0
Core Mark International,7,565.565
Foreign Government and Foreign Municipal Agencies,1,565.362
RxCrossroads,11,565.16
Sporting Goods Channel,1,564.537
Oklahoma,14,563.619
Electronics Original Equipment Manufacturers,1,563.24
Flopec,12,562.92
Susser Petroleum Company,4,562.9
Yemen,1,560.582
ROYAL CARIBBEAN CRUISES LTD,6,560.548
PICC Property & Casualty Co Ltd,7,560.3480000000001
Missile Defense Agency,1,559.4
Off-premise Channel,1,558.942
Agricultural and Off-Highway Vehicle,1,558.722
Scientific & Industrial,5,558.27
Outside the US,1,557.372
Ras Laffan Liquefied Natural Gas Company Ltd,8,557.3
United States/Canada,2,557.3
Valves,1,557.146
Consorcio Minero de Mexico Cormin Mex. S.A. de C.V,6,556.682
Foundry,3,556.125
ISVs and Technology,5,555.862
Other Paper Product Manufacturer,1,555.076
Expand Energy Corporation,1,555.0
"National Automotive Parts Association, Inc",3,553.785
China National Petroleum Corp.,3,553.085
ONCOR INC,2,552.078
ASIA,6,551.452
Civil Government,1,549.8
"South Korea, China and Taiwan",4,548.941
Chick-fil-A Inc.,1,548.222
Motion Technologies,1,548.0
Europe (without Belgium) & Africa,7,547.203
Secretaria de Seguridad Publica de Nayarit,1,547.163
First Energy Solution,1,546.982
"China, U.K., Germany, South Korea & Japan",1,546.798
University of Southern California,8,545.775
Electricity Sales Distributors-ElectricEnergyTrade,1,545.407
180 Customers,2,544.857
Retail Channel,7,544.065
China OEM market,5,543.5
Convenience and drug stores,1,543.283
Public and Quasi-Public Sector,5,543.253
Biomedical Advanced Research Development Authority,5,542.908
Metal Treatment & General Industrial,1,542.572
High Technology,2,541.7729999999999
Other U.S. Government,2,541.512
Innolux Corp,9,541.372
Europe and Japan,7,541.115
Tesoro Refining and Marketing Company,1,541.016
Smart & Final Inc.,12,539.99
Transportation Gas,17,539.675
Beijing,13,539.639
Educational Services,53,538.35
Total SA  -ADR,2,538.3100000000001
Russian Railways,1,538.0
Sales for resale,3,537.6
Lipsey's,4,537.4639999999999
Trafigura Trading LLC,6,537.057
Transportation - Gas,24,535.896
Asia & Pacific,3,535.684
Power Sales Final Customers-Industrial,1,535.017
UTAH,1,535.0
Petrobras Brasileiro  -ADR,1,533.363
Baijiu Distilleries,4,532.978
Kenya,6,531.722
Merck Sharp & Dohme Corp,18,531.572
Huaxia Life Insurance Company Limited,4,531.279
Koch,12,530.267
Brick and mortar stores,2,530.1099999999999
Large Retail Supermarket Chains,8,527.561
At-home,3,527.448
West United States,2,526.8
358 Customers,1,525.793
Business to Business,7,525.302
ROCHE HOLDING LTD  -ADR,7,523.067
Coca-Cola Co (The),27,521.869
Reliance Steel & Aluminum Co,2,521.397
Incentive Programs,2,520.26
Other Customers,1,519.514
Group Purchasing Organizations (GPOs) and Integr,2,519.115
UK Health Security Agency,1,517.76
Electricity Sales Distributors-Bilateral Contracts,1,517.259
Industrial machinery and equipment,1,514.746
NJR Energy Services Company,3,514.607
SARP INDUSTRIES,1,514.282
Bureau of Prisons,2,513.772
Retai,1,513.0
"San Francisco, CA",2,512.903
Pegatron Corp,22,512.2959999999999
Structured Finance,11,510.8
Display channel,2,510.438
SK Hynix Inc,13,510.291
Restaurant,14,510.227
Natural resources,9,510.038
Koninklijke Philips Electronics NV,7,509.132
Large enterprises,4,508.968
Direct sales to various OEMs,1,508.559
Fiat Chrysler North America,5,508.03999999999996
Tampa,14,507.435
Government of Puerto Rico,14,507.182
Latin & South America,15,506.767
PETROPERU S.A.,5,506.18600000000004
Utah Department of Transportation,4,506.077
"United States, Central Asia and Europe",1,505.546
Fresenius Medical Care Rx,10,505.31199999999995
OCI Company Ltd,3,504.56600000000003
DaVita HealthCare Partners Inc,14,504.01
UNE EPM Telecomunicaciones S.A.,1,504.0
Nuclear Power Industry,10,503.589
End-Users & Resellers,1,502.065
SHARP CORP  -ADR,2,501.821
San Francisco Bay,6,501.132
Northern New Jersey/New York City,15,500.777
Tupras-Turkiye Petrol Rafineleri AS,7,499.94
U.K.,3,498.432
"Occidental Energy Marketing, Inc",3,498.096
New nonresidential construction,1,498.0
"Anthem, Inc",3,497.74699999999996
"Oracle America, Inc.",7,496.357
Reinsurance LH,1,495.17
Non-U.S. operations,2,494.894
Boe Technology Group Co Ltd,10,494.305
"Financial Inst, Payment Processors, Major Retailer",1,493.684
4 customers,2,492.951
VTech Holdings Ltd,11,492.899
End-Users,1,492.713
Novartis AG  -ADR,17,492.561
Concord Energy Inc,6,492.375
Medical Technology,2,492.10699999999997
BEST BUY INC,6,492.04900000000004
Lunch,3,491.553
Clinics,1,491.336
Ducalion Trading Ltd.,2,490.709
ASM Lithography Holding NV,3,490.589
LexisNexis Risk Solutions,8,490.58
SUCDEN Group,1,490.099
Johnson Controls Inc.,13,489.748
China Mainland,5,489.284
Choctaw Generation Limited Partnership,1,489.104
Agora Cyber Charter School,7,488.886
North American Stainless,5,488.346
Growmark Inc,1,488.32
Non Printer Manufacturers,1,487.554
Occidental Oil and Gas Corporation,1,487.27
16 Customers,4,487.246
IELP Entities,2,486.79999999999995
"Senior Living Communities, LLC",15,485.625
CommScope Holding Co Inc,8,485.307
Distribution Channels,2,485.10900000000004
Valero Marketing and Supply Company,1,484.645
Norwegian Cruise Line Holdings Ltd,9,484.581
Colstrip Units 3&4,4,484.403
Coca-Cola Enterprises Inc,9,484.084
Electronic & Telecommunications,4,483.602
"Target, Inc.",7,482.422
Land Development,2,481.89
Automobile Industries,1,481.28
Department Stores and National Chains,2,480.918
Glencore Energy UK Ltd.,5,480.868
Brazil & Latin America,5,480.0
Cloud & IT Services,4,479.611
Retail-direct customers,7,479.159
116 Customers,1,479.135
PT Nusantara Regas,7,478.698
Seagate Technology,12,478.117
Sport-Specific Specialty,1,477.924
SANOFI  -ADR,25,477.579
Metropolitan Chicago,1,476.143
Cascade Natural Gas Corp,10,475.799
Direct/OEM Channel,3,475.134
Networking,1,474.904
"HNA Group Co., Ltd.",1,473.1
Outside North America Excluding U.K,2,473.004
"Eco-Energy, Inc.,",5,472.861
LED,5,472.459
Owned Digital Channels,3,471.913
Cargo Transportation,9,471.284
Petrobras Transporte S.A.,2,471.1
Global,4,470.8
Sinclair Oil Corp,13,470.507
Healthcare and Pharmaceuticals,9,470.461
ARRIS GROUP INC,8,470.306
Distribution sales,1,469.56
Targa Pipeline Mid-Continent West OK LLC,4,469.331
"Rackspace US, Inc.",11,469.04
"GameStop, Inc.",1,468.531
Cloud computing,1,468.207
Xerox Corp,15,467.687
Progressive Casualty Insurance,3,467.339
L&W Supply Corporation,1,467.04
Oleo e Gas Participacoes SA,1,467.0
Communication Networking,2,466.95000000000005
"Offshore (Philippines, Pakistan)",2,466.738
Chemical Industry,4,466.658
Commercial Enterprise,4,465.744
Direct product sales,4,463.788
Scotia,3,463.709
Other Overseas,1,463.513
WH Group Ltd,1,463.0
Existing and new residential construction,1,461.038
Credit Suisse (USA) Inc,5,460.615
Automobile Industry,6,459.057
HCP ACQUISITION INC,2,458.85400000000004
Entities affiliated with Susquehanna International,3,458.437
Los Angeles,19,457.781
Outside America,4,457.73199999999997
Sony Corp,40,457.123
Petrobras Transporte S.A,2,457.0
Carriers,2,456.817
Industrial - Gas,34,456.318
Arrow,2,456.2
Giant Eagle,4,455.744
Ukraine,2,455.717
DePuy Inc,4,455.7
Local crude oil for refineries,1,455.161
Advanced Industrial,2,455.014
"Dalian Wanda Group Co., Ltd.",10,453.983
Retail - Eastern,2,452.259
Global Technology & Services,5,451.702
NOVARTIS AG  -ADR,6,450.621
Adjacent Industries,4,450.478
BIOGEN IDEC INC,10,450.224
Heavy Duty,1,450.0
indirect Channel,3,449.869
IPG and Affiliates,7,449.86400000000003
El Paso Corporation,2,448.438
Lodging and Entertainment,8,448.299
Industrial electronics,5,448.279
Southeastern Brazil,5,447.868
MWI Veterinary Supply Inc,12,447.084
Priceline.com,2,447.004
Residential and Nonresidential,1,446.03
Carahsoft Technology Corp,6,445.784
Anthem Insurance,3,445.21799999999996
Gulf of Mexico Market Area,1,445.065
"IBM Japan, Ltd.",3,445.06
Mobile Handset,2,444.79999999999995
Calamos Growth Fund,6,444.659
Outside of the united states and canada,3,443.844
Shippers,3,441.38800000000003
Oneok Hydrocarbon L.P.,2,441.173
Private Label,5,441.146
Direct to Customers,2,440.739
Hospitality Properties Trust,6,440.527
Dominos Pizza Enterprises Ltd,7,439.212
Apache Corp,36,439.17199999999997
Integra Healthcare Properties,2,438.874
Airline passenger and aircraft owner/operator,2,438.38800000000003
NORFOLK SOUTHERN RAILWAY CO,3,437.24
All other United States,1,436.883
North America Staffing,1,436.653
Food and Industrial Packaging,3,433.994
Barnett,1,433.709
Emerging Technologies,3,432.354
Unisource,1,432.0
Medium-and Heavy-Duty Truck,1,431.954
Semiconductor & Electronics,1,431.936
5 Customers (UAN),4,431.13
"Third-Party Payors, Including Patient Portion",3,430.983
Superstore Distribution Channel,1,430.778
Toyota,5,429.784
Agricultural and Mineral,1,429.1
Retail Sales,14,428.945
Data Processing,3,427.368
Firm - Commercial,7,426.165
73 Customers,1,425.6
Broker,5,425.42900000000003
Repair and remodel activity,1,425.17
"Enterprise Holdings, Inc.",6,424.658
New york,5,424.341
Outside the United State,5,423.47700000000003
Indiana,6,422.242
DEERE & COMPANY,13,421.927
China Unicom Ltd  -ADR,5,421.812
Electric - Small commercial & industrial,2,421.0
ExxonMobil Oil Corporation,3,420.955
Oneok Energy Services L.P.,3,420.619
Shanghai Pharmaceuticals Holding Co Ltd,1,419.53
Circle K Corp,3,418.969
Movies,8,418.632
ANSAC,1,418.344
"United Energy Trading, LLC",4,418.058
SK ecoplant,1,418.036
Unitedstates,2,418.028
Baxter Group Ltd,8,416.795
"State, local & other governmental programs",2,416.569
UNIQUEST INC,5,416.352
Large Pharmaceutical,1,414.9
In-Vitro Diagnostics,4,413.983
Interconnect Solutions,1,413.0
International Business Machines Corp,9,412.75
Hospitals,5,412.72200000000004
Retail - North,3,412.491
Sansin Electronics Co Ltd,1,412.368
Technology & Communications,4,412.348
Western Refining Company LP,3,409.39700000000005
Brazil Shipping I Limited,6,409.395
Natural Gas-Residential,1,409.0
Orange,10,408.961
Daiichi Sankyo Europe GmbH,4,408.764
Defense prime contractors,8,408.608
Ooma Business,3,408.554
Apache Energy Ltd.,3,408.473
The Cool Pool,3,408.447
Passport Health Plan,4,408.21799999999996
Military and space (Defense Technologies),2,407.54499999999996
Separately Managed Accounts,5,407.339
Austria,1,407.234
Serbia,13,406.773
Zte Corp,4,406.418
Touch Solutions,1,406.0
Outside the USA,16,405.632
Wireless carriers,6,405.249
Chewy.com,2,404.985
China Huaneng Group,2,402.761
Offline,3,402.702
"Beijing, Shanghai, Chongqing, Chengdu, Tianjin and",3,402.0
Pearson PLC  -ADR,5,401.871
Onshore (United States),3,401.574
Shell Trading (US) Co,1,401.147
Other emerging markets,1,401.1
HVAC&R,1,400.9
Private insurance carriers,2,400.75800000000004
Solar Market,5,400.1
VEOLIA INDUSTRIES GLOBAL SOLUTIONS,1,399.72
"POSCO Energy Co., Ltd.",7,398.995
"Superior Communications, Inc",4,398.581
Nestec Ltd,8,398.528
"American Multi-Cinema, Inc",4,398.2
Wireless Infrastructure,2,397.793
China Resources,3,397.505
Food and pharmaceutical,7,397.2
Automotive Assemblers and Manufacturers,1,396.859
Tether Studios Inc.,3,396.579
Asahi/America Inc,5,396.472
McKesson HBOC Inc,2,396.264
Cbeyond 1.0 Customers,1,395.19
EQT Production Company,3,393.424
Raizen Argentina S.A.,1,393.267
PictureMe Portrait Studio,2,392.45500000000004
AstraZeneca AB,7,390.786
China National Gold,3,390.3
5 Customer,5,389.993
State and Local government agencies,5,388.74
DIVERSIFIED INDUSTRIAL,2,388.562
Baylor Scott & White Health,11,388.155
Food Retail,1,387.939
Travel/Leisure,8,387.712
Medium-duty/heavy-duty truck,1,387.3
Mature,2,386.131
Koch Resources LLC,1,385.56
"Outside North America, Excluding Japan",1,385.417
Residential construction,1,384.417
"Sabine Pass Liquefaction, LLC",1,384.087
"Southern Renewable Partnerships, LLC",1,383.934
Repair and Remodel,1,383.22
General industrial,3,381.229
Memory,2,381.17999999999995
"Banking, Financial Services & Insurance (BFSI)",1,380.929
Mergers & Acquisitions (M&A),3,380.844
Fujian Province,6,379.05
China National Offshore Oil Corporation Ltd,2,379.04999999999995
Non-US Government,2,376.594
Business  - Data,2,375.976
Industrial and Distribution,1,375.898
Fidelity Printers,6,375.884
Glaxo Wellcome UK Limited,4,375.7
"Diageo North America, Inc.",5,375.689
Tennessee,16,375.677
Oncology Supply,4,375.183
California Department of Transportation,4,374.89300000000003
"FFF Enterprises, Inc",3,374.565
Institutional Scholarships,3,374.356
