gvkey,conm,tic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
005856,I-T-E IMPERIAL CORP,ITE.3,C,00X,LC,26155,23388,1967-01-01,1967-01-30
005857,ITI CORP/OH,4183B,C,01,LU,33064,23896,1968-01-31,1982-09-29
005857,ITI CORP/OH,4183B,C,00X,LU,33064,23896,1966-07-01,1968-01-30
005860,ITT INC,ITT,P,01,LC,12570,20964,1962-01-31,E
005860,ITT INC,ITT,C,00X,LC,12570,20964,1950-01-01,1962-01-30
005862,RAYONIER INC,RYN,P,01,LC,80210,30265,1994-03-02,E
005865,IU INTERNATIONAL CORP,IU,P,01,LU,24045,23253,1962-01-31,1988-05-31
005865,IU INTERNATIONAL CORP,IU,C,00X,LU,24045,23253,1962-01-01,1962-01-30
005866,IVAC CORP,IVCC,P,01,LU,43458,2418,1974-07-31,1977-11-30
005867,IVB FINANCIAL CORP,IVBF,C,99X,LC,43466,2256,1986-01-01,1986-01-31
005867,IVB FINANCIAL CORP,IVBF,P,01,LC,43466,2256,1972-12-14,1985-12-31
005868,ICEE USA CORP,ICY.1,P,01,LU,67977,25800,1985-01-23,1988-05-31
005869,AMATI COMMUNICATIONS CORP,AMTX.,P,01,LC,43474,2269,1973-09-28,1998-02-27
005870,IDACORP INC,IDA,P,01,LU,21928,20965,1962-01-31,E
005870,IDACORP INC,IDA,C,00X,LU,21928,20965,1951-01-01,1962-01-30
005871,IDEAL BASIC INDUSTRIES INC,IDL.1,P,01,LU,26286,20966,1962-01-31,1990-03-08
005872,IDEAL TOY CORP,ID.1,P,01,LU,48434,25003,1969-05-28,1982-07-30
005873,IDLE WILD FOODS INC,IDLE,P,01,LU,43530,2275,1975-10-31,1986-08-29
005873,IDLE WILD FOODS INC,IDLE,C,00X,LU,43530,2275,1973-09-01,1975-10-30
005875,ILLINOIS BELL TELEPHONE CO,AIT1,P,01,LC,43546,24696,1973-01-31,1973-11-30
005877,ILLINOVA CORP,ILN,P,01,LU,23720,20967,1962-01-31,2000-02-29
005877,ILLINOVA CORP,ILN,C,00X,LC,23720,20967,1951-01-01,1962-01-30
005878,ILLINOIS TOOL WORKS,ITW,P,01,LU,56573,20968,1973-03-13,E
005880,IMAGE SYSTEMS INC,IMGS,C,01,LU,43554,2316,1979-01-31,1981-02-20
005880,IMAGE SYSTEMS INC,IMGS,C,00X,LU,43554,2316,1974-01-01,1979-01-30
005881,IMARK INDUSTRIES INC,IMAR.1,C,01,LU,43589,2254,1972-12-14,1990-03-16
005884,IMEX MEDICAL SYSTEMS INC,IMEX,P,01,LU,43597,6578,1984-01-31,1997-08-29
005885,IMMUNEX CORP,IMNX,P,01,LU,43610,6125,1983-07-01,2002-07-31
005886,INCSTAR CORP,ISTR.1,P,01,LC,43618,2375,1981-01-28,1997-06-27
005887,IMMUNO-SCIENCE CORP,IMNO.,P,01,LU,43626,2329,1972-12-14,1977-01-31
005888,TELIGENT INC,TLGTQ,C,01,LC,43634,2293,1981-07-30,2022-07-29
005889,IMOCO-GATEWAY CORP,IG.3,P,01,LC,47407,2331,1968-12-30,1975-10-31
005890,IMODCO INC,IMCO.,P,01,LU,43669,2320,1972-12-14,1975-11-28
005891,IMPACT ENERGY INC-OLD,IMPTE,C,01,LU,43677,2336,1982-03-31,1989-08-31
005891,IMPACT ENERGY INC-OLD,IMPTE,C,00X,LU,43677,2336,1982-01-01,1982-03-30
005892,IMPELL CORP,IMPL.1,P,01,LU,43685,2333,1973-01-31,1984-05-09
005894,ICI-IMPERIAL CHEM INDS PLC,ICIYY,P,90,LC,33072,20970,1968-01-31,2007-06-15
005894,ICI-IMPERIAL CHEM INDS PLC,ICIYY,C,00X,LU,33072,20970,1968-01-01,1968-01-30
005895,IMPERIAL CORP OF AMERICA,ICA.,P,01,LC,27000,20971,1965-06-30,1990-05-15
005895,IMPERIAL CORP OF AMERICA,ICA.,C,00X,LC,27000,20971,1965-01-01,1965-06-29
005896,IMPERIAL ENERGY CORP,4088B,P,01,LU,43714,2334,1980-09-04,1983-11-30
005898,IMPERIAL GROUP PLC,IMT.3,P,90,LU,33080,23897,1962-07-02,1986-11-14
005899,IMPERIAL INDUSTRIES INC,IPII,C,01,LC,57015,25549,2005-05-02,2010-01-26
005899,IMPERIAL INDUSTRIES INC,IPII,C,01,LC,57015,25549,1972-12-14,1986-10-12
005901,IMATRON INC,IMAT,P,01,LU,43749,6247,1984-01-31,2001-12-31
005901,IMATRON INC,IMAT,C,00X,LU,43749,6247,1984-01-01,1984-01-30
005902,IMMUNOMEDICS INC,IMMU,P,01,LU,43757,6560,1984-07-31,2020-10-30
005902,IMMUNOMEDICS INC,IMMU,C,00X,LU,43757,6560,1984-07-01,1984-07-30
005903,IMPERIAL OIL LTD,IMO,C,03,LU,33099,20972,1962-07-02,E
005904,INACOMP COMPUTER CENTERS INC,7107B,P,01,LU,43781,6796,1984-01-19,1991-08-30
005905,INCO LTD,INCLF,J,02,LC,83824,20973,1998-02-27,2000-12-14
005905,INCO LTD,INCLF,P,01,LC,12546,20973,1962-01-31,2006-11-16
005907,INCOTERM CORP-CL A,IO.A,P,01,LC,57760,25585,1973-10-26,1977-12-30
005909,INDEPENDENCE HEALTH PLAN INC,IHPI,P,01,LU,43829,6531,1983-10-27,1985-04-30
005912,INDEPENDENT INSURNACE GROUP,INDHK,C,01,LU,43888,2347,1972-12-14,1996-03-29
005913,INDIAN HEAD INC,1668A,C,00X,LU,39597,24397,1974-12-01,1976-12-01
005916,INDIANA FINANCIAL INVESTORS,3IFII,C,01,LU,43960,2287,1973-01-31,1992-10-30
005918,VECTREN CORP,VVC,P,01,LU,51633,20976,1970-12-08,2019-02-28
005920,INB FINANCIAL CP,INBF,C,01,LU,43976,2342,1972-12-14,1992-10-14
005924,IWC RESOURCES CORP,IWCR,P,01,LU,43984,2424,1974-01-31,1997-03-31
005924,IWC RESOURCES CORP,IWCR,C,00X,LU,43984,2424,1974-01-01,1974-01-30
005928,INDUSTRIAL ACOUSTICS CO INC,IACI.,C,00X,LU,43992,5760,1974-01-01,1980-03-30
005928,INDUSTRIAL ACOUSTICS CO INC,IACI.,P,01,LU,43992,5760,1980-03-31,1998-10-30
005932,IEH CORP,IEHC,C,01,LU,33136,2282,1978-01-31,1993-01-11
005932,IEH CORP,IEHC,C,00X,LU,33136,2282,1973-04-01,1978-01-30
005933,INDUSTRIAL FUELS CORP,IFUL.,P,01,LU,44012,2291,1972-12-14,1978-04-28
005936,NATEC RESOURCES INC,3NATC.,C,01,LU,44039,2349,1979-01-31,1995-08-08
005938,INERTIA DYNAMICS CORP,TRIM.,P,01,LU,44055,6846,1984-02-08,1987-10-30
005940,INEXCO OIL,INX.1,P,01,LU,51211,25170,1970-09-29,1986-07-31
005941,INFINITE GRAPHICS INC,INFG,C,01,LU,88947,7213,1984-09-06,1991-03-18
005942,INFLIGHT SERVICES INC,4349B,P,01,LU,43430,24684,1966-07-05,1986-11-28
005943,INFO DESIGNS INC,IFDS,C,01,LU,44071,2352,1983-05-18,1989-01-12
005944,INFODATA SYSTEMS INC,3INFD,P,01,LU,44090,5591,1982-07-23,2001-07-18
005945,INFOREX INC,INFQC,P,01,LU,44098,2354,1972-12-14,1980-09-30
005946,INFORMATICS GENERAL CORP,IG.2,P,01,LU,64266,2318,1979-10-31,1985-08-30
005946,INFORMATICS GENERAL CORP,IG.2,C,00X,LU,64266,2318,1979-01-01,1979-10-30
005948,INFORMATION DIALOGUES INC,INFO.,P,01,LU,44119,24735,1979-04-11,1980-01-31
005949,INFORMATION DISPLAYS INC,IDPYQ,C,00X,LU,44127,2277,1974-01-01,1979-04-29
005949,INFORMATION DISPLAYS INC,IDPYQ,P,01,LU,44127,2277,1979-04-30,1984-06-29
005950,INFORMATION INTERNATIONAL,IINT.,P,01,LU,44135,2304,1972-12-14,1996-02-29
005951,INFORMATION SCIENCE,INSI.1,P,01,LU,44143,6251,1983-08-03,1991-12-31
005953,INFOTECH MANAGEMENT INC,INFC.,C,01,LU,44151,6901,1984-06-04,1986-10-13
005954,INFOTRON SYSTEMS CORP,INFN.1,P,01,LU,44170,2351,1981-03-26,1991-08-30
005955,INFOVIEW INC,VIEW.1,P,01,LU,88955,7260,1984-11-14,1986-03-31
005957,INFRARED INDUSTRIES INC,INFR.3,P,01,LU,44178,2353,1972-12-14,1986-09-30
005959,TRANE TECHNOLOGIES PLC,TT,C,00X,LC,12431,20977,1950-01-01,1962-01-30
005959,TRANE TECHNOLOGIES PLC,TT,P,01,LC,12431,20977,1962-01-31,E
005960,INFORMATION RETRIEVAL SYS CP,IRSC,P,01,LU,44186,2393,1981-10-30,1982-10-29
005961,INFORMATION RESOURCES INC,IRIC,P,01,LU,44194,5838,1983-03-04,2003-12-31
005962,1MAGE SOFTWARE INC,ISOL,C,01,LU,44207,6478,1983-10-07,1998-10-07
005964,INGREDIENT TECHNOLOGY CORP,ITC.1,C,00X,LU,22920,23177,1949-07-01,1962-01-30
005964,INGREDIENT TECHNOLOGY CORP,ITC.1,P,01,LU,22920,23177,1962-01-31,1988-06-30
005965,INITIO INC,INTO,C,01,LU,44223,2371,1981-04-21,2003-05-02
005966,INLAND CONTAINER CORP,IN.4,P,01,LU,56098,25492,1972-12-12,1978-11-30
005967,INLAND CREDIT CORP-CL A,ICC.A,C,00X,LC,33144,23900,1962-07-02,1966-01-30
005967,INLAND CREDIT CORP-CL A,ICC.A,P,01,LC,33144,23900,1966-01-31,1974-12-31
005968,RYERSON HOLDING CORP,RYI,P,01,LC,12458,20978,1962-01-31,2007-10-18
005968,RYERSON HOLDING CORP,RYI,C,00X,LC,12458,20978,1950-01-01,1962-01-30
005968,RYERSON HOLDING CORP,RYI,P,03,LC,14855,54985,2014-08-08,E
005969,IVACO INDUSTRIES INC,IVX.1,P,01,LC,75228,7712,1985-08-27,1987-12-10
005970,INMED CORP,NMED.,P,01,LU,88971,7247,1984-10-03,1988-05-31
005971,WINDGEN ENERGY INC,WGEI,C,01,LU,44250,6914,1985-04-30,1988-02-05
005972,INMONT CORP,IKN.,P,01,LU,16985,22735,1962-01-31,1977-12-30
005972,INMONT CORP,IKN.,C,00X,LU,16985,22735,1950-01-01,1962-01-30
005973,INNOVEX INC,INVX.1,P,01,LC,88990,7603,1985-06-18,2008-08-01
005974,INOLEX CORP,ILX.1,P,01,LU,45057,24795,1967-09-26,1979-08-31
005976,INSILCO HOLDING CO,INSLQ,C,04,LC,79838,22655,1993-11-29,1998-08-24
005976,INSILCO HOLDING CO,INSLQ,C,00X,LC,16053,22655,1950-01-01,1962-01-30
005976,INSILCO HOLDING CO,INSLQ,P,01,LC,16053,22655,1962-01-31,1988-09-29
005977,INEI CORP,INEY,P,01,LC,44266,5143,1981-10-21,2003-05-29
005978,AEGION CORP,AEGN,P,01,LU,44274,2366,1981-12-02,2021-05-28
005979,INSPIRATION CONS COPPER CO,9177A,P,01,LU,12466,22358,1962-01-31,1978-07-31
005979,INSPIRATION CONS COPPER CO,9177A,C,00X,LU,12466,22358,1950-01-01,1962-01-30
005980,TERRA INDUSTRIES INC,TRA,P,01,LC,65293,20979,1983-07-26,2010-04-15
005981,INSTACOM INC,ICOM.,P,01,LU,44282,5162,1981-11-04,1983-10-31
005983,INSTINET CORP,INET.,P,01,LU,44311,5851,1983-03-11,1987-04-30
005984,INST OF CLIN PHARM  -ADR,ICPYE,P,90,LU,89010,7294,1984-11-08,1990-09-28
005985,INSTITUTIONAL INVESTORS-DEL,INV.3,P,01,LC,56215,21801,1972-12-29,1984-02-29
005986,INSTRON CORP,ISN.1,P,01,LC,46519,20980,1968-07-22,1999-09-30
005987,GRIFFON CORP,GFF,P,01,LU,46463,20981,1968-07-09,E
005988,INSTRUMENTARIUM CORP,INMRY,P,90,LC,44330,6297,1983-08-18,2003-10-14
005989,INSTRUMENTATION LABS INC,ILAB,P,01,LU,44338,2309,1972-12-14,1983-04-29
005990,INPUT BUSINESS MACHINES INC,IPUT,P,01,LU,44346,2386,1981-05-13,1983-06-30
005991,INTEGRATED MICROCIRCUITS INC,IMCIC,P,01,LU,44354,2319,1981-07-21,1983-05-31
005992,INTERPOINT CORP,INTP.1,P,01,LC,44389,5933,1983-04-21,1996-10-15
005993,INTEGRATED SOFTWARE SYS CORP,ISCX.,P,01,LU,44397,5875,1983-03-23,1987-01-30
005994,INTEGRATED GENETICS,INGN.,P,01,LU,44410,6189,1983-07-19,1989-08-31
005995,INNOTRON DIAGNOSTICS,4350B,P,01,LU,44418,6273,1983-12-06,1985-06-28
005996,INNOVATIVE SOFTWARE INC,ASCL1,P,01,LC,44434,6385,1983-09-15,1988-02-29
005997,INTEGRATED LOGIC SYSTEMS INC,3ILGS,P,01,LU,44442,6836,1985-10-31,1986-08-29
005997,INTEGRATED LOGIC SYSTEMS INC,3ILGS,C,00X,LU,44442,6836,1984-07-01,1985-10-30
005999,INSYTE ENERGY CORP,ISTE,P,01,LU,44469,2405,1979-01-31,1984-07-31
006000,INTECH INC,INTE.,P,01,LU,44477,5587,1982-07-30,1992-03-31
006000,INTECH INC,INTE.,C,00X,LU,44477,5587,1981-04-01,1982-07-29
006001,INTECOM INC,INCM.2,P,01,LU,44485,5656,1982-11-30,1986-08-29
006002,INTEGRATED BARTER INTL INC,4538B,P,01,LU,44493,5741,1983-01-31,1986-01-17
006003,INTEGRATED DEVICE TECH INC,IDTI,P,01,LU,44506,6867,1984-02-17,2019-03-31
006004,INTEGRATED ELECTRONICS CORP,INEL.1,P,01,LU,44514,2350,1979-01-31,1983-07-29
006005,INTEGRATED RESOURCES INC,3IGRR,P,01,LC,55853,20983,1972-11-09,1990-05-15
006006,INTEK GLOBAL CORP,IGLC,P,01,LU,44522,2274,1980-04-09,1999-08-31
006007,INTELECOM CORP,ICOMQ,P,01,LU,89026,7095,1984-06-20,1985-08-30
006008,INTEL CORP,INTC,P,01,LU,59328,2367,1972-12-14,E
006009,INTELEPLEX CORP,ITPX,P,01,LU,44557,5181,1982-01-29,1985-02-28
006010,INTELLICORP INC,3INAIQ,P,01,LU,44565,6704,1983-12-14,2002-04-11
006011,INTELLIGENT BUSINESS COMM CP,3IBCME,C,01,LU,44573,7139,1984-07-18,1989-02-14
006012,INCOMNET INC,ICNT,C,02,LU,44581,2266,1981-10-26,1999-09-02
006013,CORECARD CORP,CCRD,P,02,LC,72119,20982,1987-02-02,2025-10-31
006013,CORECARD CORP,CCRD,P,02,LC,44600,5122,1981-01-30,1986-12-31
006013,CORECARD CORP,CCRD,C,00X,LC,44600,5122,1980-12-31,1981-01-29
006016,INTER-CONTINENTAL SVCS CORP,OBLR,C,01,LC,44602,2270,1980-12-31,1985-04-17
006016,INTER-CONTINENTAL SVCS CORP,OBLR,C,00X,LC,44602,2270,1974-01-01,1980-12-30
006017,INTER ISLAND RESORTS LTD,3054B,C,01,LU,44629,2401,1978-01-31,1982-09-07
006017,INTER ISLAND RESORTS LTD,3054B,C,00X,LU,44629,2401,1974-01-01,1978-01-30
006019,DAIN RAUSCHER CORP,DRC.2,P,01,LU,63220,2286,1974-01-31,2001-01-31
006019,DAIN RAUSCHER CORP,DRC.2,C,00X,LU,63220,2286,1974-01-01,1974-01-30
006020,INTER-TEL INC  -SER A,INTL.1,P,01,LU,44637,2369,1981-02-05,2007-08-31
006021,INRAD OPTICS INC,INRD,C,01,LU,44645,6142,1983-07-29,1994-11-29
006021,INRAD OPTICS INC,INRD,C,00X,LU,44645,6142,1983-07-07,1983-07-28
006022,INTERACTIVE SYSTEMS CORP,4540B,C,01,LU,44653,2396,1980-07-16,1984-09-05
006023,INTERAND CORP,SMAA,C,01,LU,44661,6031,1983-06-30,1988-05-23
006023,INTERAND CORP,SMAA,C,00X,LU,44661,6031,1983-06-02,1983-06-29
006024,MORGAN STANLY INCOME SEC,ICB,P,01,LC,57111,20986,1982-01-29,1998-12-18
006025,FURNITURE BRANDS INTL INC,FBNIQ,P,01,LU,77855,20987,1992-06-29,2014-07-31
006025,FURNITURE BRANDS INTL INC,FBNIQ,P,01,LU,18278,20987,1962-01-31,1992-06-26
006025,FURNITURE BRANDS INTL INC,FBNIQ,C,00X,LU,18278,20987,1949-12-01,1962-01-30
006026,INTERCOLE INC,IC.3,P,01,LU,62623,25694,1981-01-19,1985-04-30
006027,INTERCONTINENTAL DIVRSIFD-B,ICDCF,C,01,LU,57664,25579,1974-02-06,1980-05-09
006028,INTERCONTINENTAL DYNAMICS,ICDY,P,01,LU,44709,2261,1972-12-14,1986-03-31
006029,PACKAGING RESEARCH CORP,3PRCAE,C,01,LU,40054,2024,1978-06-26,1996-12-06
006030,INTERCONTINENTAL INDS INC,1972B,C,99X,LU,33152,23901,1973-08-01,1979-07-31
006032,INTERCRAFT INDUSTRIES,ICFT,P,01,LU,44733,2264,1972-12-14,1983-03-21
006033,INTERDYNE CO,ITDN,C,00X,LU,44760,6257,1973-11-01,1981-01-29
006033,INTERDYNE CO,ITDN,C,01,LU,44760,6257,1981-01-30,1987-11-06
006034,INTERFACE INC,TILE,P,01,LU,44768,5925,1983-04-14,E
006035,INTERFACE SYSTEMS INC,INTF.1,P,01,LU,44776,5912,1983-04-11,2000-09-29
006036,INTERGRAPH CORP,INGR.,P,01,LC,44792,2356,1981-04-07,2006-11-29
006037,INTERLAB ROBOTICS INC,4541B,P,01,LU,89069,7210,1984-09-04,1986-01-31
006038,INTERLAKE CORP,IK,P,01,LU,15747,20988,1962-01-31,1999-02-26
006038,INTERLAKE CORP,IK,C,00X,LU,15747,20988,1950-01-01,1962-01-30
006039,INTERMAGNETICS GENERAL CORP,IMGC,P,01,LU,44821,2360,1981-04-14,2006-11-30
006040,PURESAFE WATER SYSTEMS INC,PSWS,C,01,LU,89085,7563,1985-05-24,1992-10-23
006041,ALARMGUARD HOLDINGS INC,AGD.4,P,01,LU,79352,29897,1993-10-07,1999-02-26
006042,INTERMEC CORP,INTR.2,P,01,LU,44840,2372,1979-01-31,1991-09-30
006043,INTERMEDCO INC,ITM.2,P,01,LC,55810,25470,1972-11-01,1977-02-28
006044,INTERMET CORP,INMTQ,P,01,LU,89093,7638,1985-07-12,2004-10-11
006045,INTERMEDICS INC,ITM.1,P,01,LU,64987,2410,1979-07-17,1988-07-19
006046,INTERMETRICS INC,3IMETE,C,01,LU,44856,5559,1982-06-29,1995-07-31
006047,BARGO ENERGY CO,3BARG,C,01,LC,44872,2370,1979-01-31,1990-05-31
006047,BARGO ENERGY CO,3BARG,C,00X,LC,44872,2370,1978-06-09,1979-01-30
006049,INTERMOUNTAIN GAS INDUSTRIES,INMT.,P,01,LU,44899,2361,1972-12-14,1984-11-30
006050,INTERMOUNTAIN LABORATORIES,IMLB,P,01,LU,44901,2326,1979-01-31,1985-05-31
006051,INTERMOUNTAIN RESOURCES INC,4061B,C,99X,LC,44920,2337,1981-02-24,1982-10-05
006053,INTERNATIONAL ALUMINUM CORP,IAL,P,01,LU,58608,2250,1972-12-14,2007-04-30
006054,STEM CELL INNOVATIONS INC,SCLL,P,01,LC,44928,2290,1981-05-12,1999-04-13
006055,INTERMOUNTAIN ENERGY INC,3055B,P,01,LU,44936,2330,1980-05-06,1982-09-16
006056,INTERACTION SYSTEMS INC,4087B,P,01,LU,44952,2398,1981-05-12,1983-11-30
006057,INTEGRATED ENERGY INC,IEI.2,P,01,LU,63634,25714,1981-12-31,1984-06-29
006058,INTERFIRST CORP,IFC.1,P,01,LU,56805,1721,1973-05-11,1987-06-30
006059,INTERGEM INC,IGEM.1,C,01,LC,44987,5934,1985-04-01,1986-04-29
006061,INTL ARTWARE CORP,2989B,P,01,LU,53743,2341,1974-01-31,1982-05-28
006061,INTL ARTWARE CORP,2989B,C,00X,LU,53743,2341,1974-01-01,1974-01-30
006062,AMERICAN BANKNOTE CORP,3ABNTQ,C,01,LU,50075,20989,1970-02-16,1999-08-02
006063,INTL BASIC ECONOMY,IECO,P,01,LU,45023,2281,1972-12-14,1980-06-30
006064,AMERISTAR INTL HOLDINGS CP,AIHC,C,01,LU,45031,6730,1983-12-20,1998-07-07
006065,INTL BROADCASTING CORP-OLD,7635B,P,01,LU,45050,6103,1983-06-30,1991-08-30
006065,INTL BROADCASTING CORP-OLD,7635B,C,00X,LU,45050,6103,1981-10-01,1983-06-29
006066,INTL BUSINESS MACHINES CORP,IBM,P,01,LC,12490,20990,1962-01-31,E
006066,INTL BUSINESS MACHINES CORP,IBM,C,00X,LC,12490,20990,1950-01-01,1962-01-30
006067,INTL CAP & TECHNOLOGY CORP,ICTC,C,01,LU,45058,1172,1980-01-14,1988-11-21
006068,INTL CAPITAL EQUIPMENT LTD,ICQLF,C,01,LU,78303,26302,1982-11-01,1992-11-05
006069,INTL CLINICAL LABS,ICLB,P,01,LU,45074,2265,1977-09-06,1988-06-30
006070,INTL COMPUTER APPLICATNS GP,4408B,P,01,LU,45082,6986,1984-04-16,1985-07-31
006073,INTL COURIERS,ICR.1,C,01,LU,48290,24992,1969-05-06,1977-09-30
006074,INTL DAIRY QUEEN  -CL A,INDQA,J,02,LC,75493,2348,1986-02-12,1998-01-06
006074,INTL DAIRY QUEEN  -CL A,INDQA,P,01,LC,45103,2348,1986-02-12,1998-01-07
006074,INTL DAIRY QUEEN  -CL A,INDQA,P,03,LC,45103,2348,1972-12-14,1986-01-31
006074,INTL DAIRY QUEEN  -CL A,INDQA,C,03,LC,45103,2348,1986-02-01,1986-02-11
006077,INTL FILM PRODUCTION INC,IFPI,P,01,LU,89149,7297,1984-11-09,1985-10-31
006078,INTL FLAVORS & FRAGRANCES,IFF,P,01,LC,40272,20991,1964-03-02,E
006079,INTL FOODSERVICE CORP,IFS.2,P,01,LU,51975,25218,1971-02-18,1980-09-30
006080,INTL GENERAL INDUSTRIES INC,IGI.1,P,01,LU,40184,24440,1964-02-05,1979-12-31
006081,NAVISTAR INTERNATIONAL CORP,NAV,P,01,LC,12503,21265,1962-01-31,2007-02-13
006081,NAVISTAR INTERNATIONAL CORP,NAV,C,00X,LC,12503,21265,1949-11-01,1962-01-30
006081,NAVISTAR INTERNATIONAL CORP,NAV,P,01,LC,12503,21265,2008-06-30,2021-07-30
006083,INTL HYDRON CORP,HYD.2,P,01,LU,65963,6477,1983-10-07,1987-11-30
006084,INTL INCOME PROPERTY INC,IIP.1,P,01,LC,66210,2306,1979-12-18,1990-06-26
006085,MEGAPHONE INTL INC DEL-NEW,5774B,C,01,LU,90027,7345,1984-12-14,1988-02-29
006086,INTL INSTITUTE OF APPLD TECH,4139B,P,01,LU,45146,2299,1981-04-27,1983-09-30
006088,INTL KINGS TABLE,IKNG,P,01,LU,45189,2308,1976-04-05,1988-05-31
006089,INTL LEASE FINANCE CORP,AIG1,P,01,LU,45197,5843,1983-03-31,1990-08-31
006089,INTL LEASE FINANCE CORP,AIG1,C,00X,LU,45197,5843,1983-03-09,1983-03-30
006091,INTL LEISURE HOSTS,ILHL,P,01,LU,45226,2313,1979-03-20,1998-06-09
006092,INTL MANAGEMENT & RESEARCH,3IMRCE,C,01,LU,89157,7194,1984-08-22,1990-01-19
006094,MEDICAL TECHNOLOGY PRODUCTS,MTPX,C,01,LU,45242,6182,1984-01-31,1988-03-30
006095,INTL METALS & PETROLEUM CORP,IMPC.1,P,01,LU,45269,2332,1980-12-22,1982-04-30
006096,MALLINCKRODT INC,MKG,P,01,LU,12511,20992,1962-01-31,2000-10-31
006096,MALLINCKRODT INC,MKG,C,00X,LU,12511,20992,1949-07-01,1962-01-30
006097,INTL GAME TECHNOLOGY,IGT.1,P,01,LC,45277,5132,1981-10-22,2015-04-06
006098,INTL ROBOMATION/INTELLIGENCE,6319B,P,01,LU,45285,5274,1982-01-21,1988-08-08
006099,INTL MINING CORP,IM.3,P,01,LU,12538,22362,1962-01-31,1978-01-31
006099,INTL MINING CORP,IM.3,C,00X,LU,12538,22362,1960-01-01,1962-01-30
006100,INTERDIGITAL INC,IDCC,P,01,LU,45306,5184,1981-11-12,E
006102,INTL MULTIFOODS CORP,IMC.1,P,01,LU,53129,20993,1971-08-31,2004-06-30
006103,INTL NUTRONICS INC,4542B,P,01,LU,45314,7199,1984-08-24,1986-01-31
006104,INTL PAPER CO,IP,P,01,LC,21573,20994,1962-01-31,E
006104,INTL PAPER CO,IP,C,00X,LC,21573,20994,1950-01-01,1962-01-30
006105,INTL PICTURE SHOW CO,TIPS.1,P,01,LU,45322,4459,1980-08-19,1982-10-29
006106,INTL PLASTICS INC,IPLSQ,P,01,LU,45349,24813,1977-12-30,1981-01-30
006106,INTL PLASTICS INC,IPLSQ,C,00X,LU,45349,24813,1973-01-01,1977-12-29
006107,INTL POWER MACHINES CORP,PWR.2,P,01,LU,62631,2384,1980-09-25,1995-02-28
006108,GROUND ROUND RESTAURANT,GRXR,C,01,LU,49736,20995,1969-12-15,1997-12-31
006109,INTL RECTIFIER CORP,IRF,P,01,LC,27705,20996,1962-01-31,2015-01-13
006109,INTL RECTIFIER CORP,IRF,C,00X,LC,27705,20996,1960-12-12,1962-01-30
006110,IRIS INTERNATIONAL INC,IRIS,P,01,LU,45373,2391,1983-01-31,E
006110,IRIS INTERNATIONAL INC,IRIS,C,00X,LU,45373,2391,1983-01-01,1983-01-30
006111,INTL RESEARCH & DEV CORP,IRDVQ,P,01,LU,45381,2387,1974-01-31,1995-06-30
006111,INTL RESEARCH & DEV CORP,IRDVQ,C,00X,LU,45381,2387,1974-01-01,1974-01-30
006112,INTL ROYALTY & OIL CO,3IROC.,P,01,LU,45400,2392,1979-01-31,1987-03-31
006113,INTL SALT CO,ILS.1,P,01,LU,12562,22364,1962-01-31,1970-09-30
006113,INTL SALT CO,ILS.1,C,00X,LU,12562,22364,1949-07-01,1962-01-30
006114,RESOURCE RECYCLING TECH,RRT,P,01,LC,54674,21508,1972-04-28,1995-04-28
006115,INTL SHIPHOLDING CORP,ISHCQ,P,01,LC,45437,2364,1979-04-19,2015-12-18
006116,INTL SPEEDWAY CORP  -CL A,ISCA,N,02,LU,84226,27852,1996-11-05,1996-11-30
006116,INTL SPEEDWAY CORP  -CL A,ISCA,P,02,LU,84226,27852,1996-12-01,2019-10-31
006118,INTL STRETCH PRODS,ISTPQ,P,01,LU,33179,2406,1962-08-31,1985-08-30
006119,INTL SYSTEMS & CONTROLS,2998B,C,01,LU,56880,25543,1972-12-14,1978-11-01
006121,IT GROUP INC,ITXG,C,01,LU,68494,6699,1983-12-14,2001-12-26
006122,INTL TECHNOLOGY RESOURCES,ITRC.,P,01,LC,45480,2416,1979-05-10,1982-10-29
006123,INTL TELDATA CORP,4351B,P,01,LU,89165,7216,1984-09-10,1985-10-31
006124,INTL THOROUGHBRED BREEDERS,ITGB,C,01,LU,67619,2413,1982-01-29,1997-10-10
006124,INTL THOROUGHBRED BREEDERS,ITGB,C,00X,LU,67619,2413,1981-07-01,1982-01-28
006125,INTL LOTTERY & TOTALIZATOR,ITSI,P,01,LU,45509,5194,1981-11-25,1998-12-16
006126,AUTOMOTIVE FRANCHISE CORP,ATMV.1,C,01,LU,45525,5166,1981-11-05,1988-02-09
006127,ENRON CORP,ENRNQ,C,00X,LC,23317,20654,1962-01-01,1962-01-30
006127,ENRON CORP,ENRNQ,P,01,LC,23317,20654,1962-01-31,2002-01-11
006128,INTERPACE CORP,INP.1,P,01,LU,38586,24325,1962-12-31,1983-08-31
006129,INTERPHARM LABS LTD  -ORD,IPLLF,C,01,LU,78307,26241,1982-11-01,1994-07-12
006130,INTERPHASE CORP,INPHQ,P,01,LU,45560,6785,1984-01-17,2018-07-09
006131,INTERPHOTO CORP,3IPHT,C,01,LU,40256,24445,1964-02-25,1979-10-02
006132,INTERPLASTIC CORP,INT.4,P,01,LC,60505,2363,1971-12-07,1979-12-31
006134,INTERPOOL LTD,ITP.1,P,01,LU,56688,25534,1972-12-14,1978-07-31
