gvkey,conm,tic,datadate,fyear,gsector,ggroup,gind,gsubind,naics,sic,naics2,naics3,sic2,sic4
001635,ANAREN INC,ANEN,2013-06-30,2013,45,4520,452010,45201020,334220,3663,33,334,36,3663
001661,NABORS INDUSTRIES LTD,NBR,2025-12-31,2025,10,1010,101010,10101010,213111,1381,21,213,13,1381
001678,APA CORP,APA,2025-12-31,2025,10,1010,101020,10102020,002111,1311,00,002,13,1311
001681,APOLLO SOLAR ENERGY INC,ASOE,2014-12-31,2014,15,1510,151040,15104020,331410,3330,33,331,33,3330
001682,APCO OIL AND GAS INTL INC,APAGF,2013-12-31,2013,10,1010,101020,10102020,211111,1311,21,211,13,1311
001690,APPLE INC,AAPL,2025-09-30,2025,45,4520,452020,45202030,334220,3663,33,334,36,3663
001704,APPLIED MATERIALS INC,AMAT,2025-10-31,2025,45,4530,453010,45301010,333242,3559,33,333,35,3559
001712,TRECORA RESOURCES,TREC,2021-12-31,2021,15,1510,151010,15101010,324110,2911,32,324,29,2911
001722,ARCHER-DANIELS-MIDLAND CO,ADM,2025-12-31,2025,30,3020,302020,30202010,031122,2070,03,031,20,2070
001773,ARROW ELECTRONICS INC,ARW,2025-12-31,2025,45,4520,452030,45203030,423690,5065,42,423,50,5065
001794,ASHLAND INC,ASH,2025-09-30,2025,15,1510,151010,15101050,003252,2820,00,003,28,2820
001823,ASTRONICS CORP,ATRO,2025-12-31,2025,20,2010,201010,20101010,336320,3640,33,336,36,3640
001860,ATWOOD OCEANICS,ATW,2016-09-30,2016,10,1010,101010,10101010,213111,1381,21,213,13,1381
001878,AUTODESK INC,ADSK,2025-01-31,2024,45,4510,451030,45103010,519290,7370,51,519,73,7370
001891,AUTOMATIC DATA PROCESSING,ADP,2025-06-30,2025,20,2020,202020,20202010,518210,7374,51,518,73,7374
001913,AVERY DENNISON CORP,AVY,2025-12-31,2025,15,1510,151030,15103020,322220,2670,32,322,26,2670
001919,AVNET INC,AVT,2025-06-30,2025,45,4520,452030,45203030,423690,5065,42,423,50,5065
001949,BRT APARTMENTS CORP,BRT,2025-12-31,2025,60,6010,601060,60106010,531110,6798,53,531,67,6798
001976,BAKER HUGHES INC,BHI,2016-12-31,2016,10,1010,101010,10101020,213111,1381,21,213,13,1381
001988,BALL CORP,BALL,2025-12-31,2025,15,1510,151030,15103010,332431,3411,33,332,34,3411
002002,POPULAR INC,BPOP,2025-12-31,2025,40,4010,401010,40101015,522110,6020,52,522,60,6020
002005,BANK OF HAWAII CORP,BOH,2025-12-31,2025,40,4010,401010,40101015,522110,6020,52,522,60,6020
002019,BANK OF NEW YORK MELLON CORP,BNY,2025-12-31,2025,40,4020,402030,40203010,522110,6020,52,522,60,6020
002044,BARD (C.R.) INC,BCR,2016-12-31,2016,35,3510,351010,35101010,339112,3841,33,339,38,3841
002049,BARNES GROUP INC,B.2,2023-12-31,2023,20,2010,201060,20106020,332613,3490,33,332,34,3490
002052,BARNWELL INDUSTRIES,BRN,2025-09-30,2025,10,1010,101020,10102020,002111,1311,00,002,13,1311
002073,EARTHSTONE ENERGY INC -OLD,ESTE.1,2014-03-31,2013,10,1010,101020,10102020,211111,1311,21,211,13,1311
002111,BECTON DICKINSON & CO,BDX,2025-09-30,2025,35,3510,351010,35101010,339112,3841,33,339,38,3841
002124,BEL FUSE INC,BELFB,2025-12-31,2025,45,4520,452030,45203015,334416,3677,33,334,36,3677
002136,VERIZON COMMUNICATIONS INC,VZ,2025-12-31,2025,50,5010,501010,50101020,517312,4812,51,517,48,4812
002176,BERKSHIRE HATHAWAY,BRK.B,2025-12-31,2025,40,4020,402010,40201030,999977,9997,99,999,99,9997
002184,BEST BUY CO INC,BBY,2025-01-31,2024,25,2550,255040,25504020,449210,5731,44,449,57,5731
002220,BIO-RAD LABORATORIES INC,BIO,2025-12-31,2025,35,3520,352030,35203010,334516,3826,33,334,38,3826
002222,SAVIENT PHARMACEUTICALS INC,SVNTQ,2012-12-31,2012,35,3520,352010,35201010,325414,2836,32,325,28,2836
002269,BLOCK H & R INC,HRB,2025-06-30,2025,25,2530,253020,25302020,541213,7200,54,541,72,7200
002270,VALARIS LIMITED,VAL,2025-12-31,2025,10,1010,101010,10101010,213111,1381,21,213,13,1381
002282,BOB EVANS FARMS,BOBE,2017-04-30,2016,30,3020,302020,30202030,311612,2013,31,311,20,2013
002285,BOEING CO,BA,2025-12-31,2025,20,2010,201010,20101010,336411,3721,33,336,37,3721
002290,OFFICEMAX INC,OMX,2012-12-31,2012,25,2550,255040,25504040,424120,5110,42,424,51,5110
002295,BOLT TECHNOLOGY CORP,BOLT.1,2014-06-30,2014,10,1010,101010,10101020,333132,3533,33,333,35,3533
002340,ENTRPRIZE CORP,ENTP,2010-12-31,2010,20,2010,201020,20102010,238990,1700,23,238,17,1700
